Zone A,Zone B,p-Value
1,2,0.0028
1,3,0.0001
1,6,0.0
1,9,0.0026
1,14,0.002
2,5,0.0
2,6,0.0472
2,8,0.0005
2,10,0.0022
2,11,0.0035
2,12,0.0008
2,13,0.0
2,14,0.0
2,15,0.0
3,4,0.0072
3,5,0.0
3,7,0.0096
3,8,0.0
3,10,0.0001
3,11,0.0004
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
4,5,0.0386
4,6,0.0009
4,13,0.023
4,14,0.0003
4,15,0.0167
5,6,0.0
5,7,0.0262
5,9,0.0004
6,7,0.001
6,8,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
7,13,0.0134
7,14,0.0002
7,15,0.0093
8,9,0.0012
8,14,0.0049
9,10,0.0038
9,11,0.0059
9,12,0.0016
9,13,0.0
9,14,0.0
9,15,0.0
10,14,0.0132
11,14,0.0069
12,14,0.01
