School,Zone,Grade,Size,Mid-Above Grade,Early On Grade,1 Grade Below,2 Grades Below,3 or More Grades Below,Did not take
ACORN Woodland,15,3,43,13,9,14,4,3,0
ACORN Woodland,15,4,48,6,5,30,2,5,0
ACORN Woodland,15,5,45,5,9,18,9,4,0
Allendale,8,3,54,7,13,13,11,5,5
Allendale,8,4,52,0,4,20,6,19,3
Allendale,8,5,45,2,2,4,11,16,10
Bella Vista,7,3,64,22,11,12,12,6,1
Bella Vista,7,4,71,15,7,29,10,9,1
Bella Vista,7,5,54,13,13,4,12,12,0
Bridges,11,3,59,2,7,14,18,17,1
Bridges,11,4,65,1,6,27,8,22,1
Bridges,11,5,67,1,3,17,16,29,1
Brookfield,13,3,26,3,7,7,6,2,1
Brookfield,13,4,28,8,7,10,0,2,1
Brookfield,13,5,29,1,0,11,9,8,0
Burckhalter,10,3,31,4,7,11,8,1,0
Burckhalter,10,4,27,3,3,8,3,8,2
Burckhalter,10,5,34,0,6,9,13,4,2
Carl Munck,9,3,28,12,0,11,4,1,0
Carl Munck,9,4,30,5,5,13,3,4,0
Carl Munck,9,5,22,2,3,8,7,2,0
Chabot,3,3,94,67,20,5,1,1,1
Chabot,3,4,88,63,13,9,2,1,0
Chabot,3,5,84,45,13,13,5,2,6
Cleveland,7,3,61,31,11,8,7,3,1
Cleveland,7,4,52,24,11,9,2,2,4
Cleveland,7,5,55,22,7,16,6,3,1
Crocker,6,3,64,48,11,0,3,1,1
Crocker,6,4,78,46,14,11,1,2,4
Crocker,6,5,63,27,13,15,7,1,0
Emerson,2,3,48,15,10,8,8,4,3
Emerson,2,4,54,15,5,22,5,7,0
Emerson,2,5,44,6,4,14,12,7,1
EnCompass,15,3,45,5,6,14,13,6,1
EnCompass,15,4,49,1,7,26,3,10,2
EnCompass,15,5,54,0,9,7,27,10,1
Esperanza,15,3,50,4,8,3,16,18,1
Esperanza,15,4,55,3,4,15,12,21,0
Esperanza,15,5,49,5,4,15,14,11,0
Franklin,4,3,77,24,23,11,14,3,2
Franklin,4,4,87,20,14,25,5,21,2
Franklin,4,5,85,16,12,21,22,13,1
Fruitvale,8,3,42,4,12,7,9,7,3
Fruitvale,8,4,42,2,4,15,3,15,3
Fruitvale,8,5,43,6,6,7,8,13,3
Garfield,4,3,76,15,14,13,17,17,0
Garfield,4,4,85,13,8,35,5,22,2
Garfield,4,5,92,7,18,20,23,24,0
Glenview,6,3,68,45,11,7,3,2,0
Glenview,6,4,63,22,11,19,2,4,5
Glenview,6,5,69,28,13,10,7,4,7
Global Family,8,3,61,7,19,8,13,13,1
Global Family,8,4,63,5,8,19,10,20,1
Global Family,8,5,68,1,7,17,17,22,4
Grass Valley,10,3,30,4,8,5,3,9,1
Grass Valley,10,4,38,5,4,15,3,10,1
Grass Valley,10,5,38,0,4,12,6,16,0
Greenleaf,12,3,63,10,22,18,7,6,0
Greenleaf,12,4,64,3,9,24,9,17,2
Greenleaf,12,5,71,1,6,16,25,20,3
Highland,15,3,60,3,11,13,15,17,1
Highland,15,4,85,4,4,31,11,33,2
Highland,15,5,82,0,12,11,32,27,0
Hillcrest,3,3,45,32,10,3,0,0,0
Hillcrest,3,4,36,26,3,4,1,1,1
Hillcrest,3,5,42,28,8,6,0,0,0
Hoover,1,3,49,10,7,11,11,9,1
Hoover,1,4,46,7,5,12,7,15,0
Hoover,1,5,44,1,5,9,13,16,0
Horace Mann,11,3,31,0,5,9,9,7,1
Horace Mann,11,4,32,0,0,13,5,13,1
Horace Mann,11,5,41,3,4,6,13,14,1
ICS,5,3,51,10,11,5,16,8,1
ICS,5,4,44,3,7,25,2,7,0
ICS,5,5,36,2,5,13,9,7,0
Joaquin Miller,9,3,67,43,7,8,2,3,4
Joaquin Miller,9,4,65,28,17,9,4,6,2
Joaquin Miller,9,5,64,19,13,13,7,7,5
Korematsu,15,3,34,2,4,8,7,13,0
Korematsu,15,4,45,1,5,16,4,17,2
Korematsu,15,5,44,0,6,7,11,13,7
La Escuelita,4,3,53,9,14,7,13,9,1
La Escuelita,4,4,42,21,4,8,1,7,1
La Escuelita,4,5,38,2,8,11,9,8,0
Laurel,9,3,67,11,16,16,10,13,1
Laurel,9,4,70,15,9,21,7,18,0
Laurel,9,5,75,15,9,16,18,16,1
Lincoln,4,3,122,63,22,24,9,2,2
Lincoln,4,4,108,46,18,32,3,6,3
Lincoln,4,5,105,23,23,25,25,9,0
Lockwood STEAM Academy,12,3,114,4,7,14,36,40,13
Lockwood STEAM Academy,12,4,93,6,6,28,11,35,7
Lockwood STEAM Academy,12,5,98,1,8,24,18,41,6
Madison Primary,13,3,28,5,5,8,3,6,1
Madison Primary,13,4,58,4,8,22,6,10,8
Madison Primary,13,5,42,2,6,16,10,3,5
Manzanita,7,3,58,5,12,12,17,8,4
Manzanita,7,4,64,2,2,26,5,26,3
Manzanita,7,5,56,1,5,14,11,15,10
Markham,12,3,52,2,3,10,12,23,2
Markham,12,4,44,1,5,19,4,15,0
Markham,12,5,41,2,4,8,11,16,0
MLA,9,3,67,28,8,11,12,5,3
MLA,9,4,73,30,18,15,1,7,2
MLA,9,5,70,30,16,8,7,8,1
MLK,1,3,64,5,10,14,23,12,0
MLK,1,4,51,1,4,15,11,19,1
MLK,1,5,48,2,8,8,13,16,1
Montclair,3,3,80,57,13,2,2,0,6
Montclair,3,4,90,58,9,12,5,0,6
Montclair,3,5,80,41,10,17,8,1,3
OAK,10,3,52,12,13,6,8,11,2
OAK,10,4,37,1,2,11,4,15,4
OAK,10,5,35,2,1,5,9,14,4
Peralta,2,3,62,43,8,5,5,1,0
Peralta,2,4,53,23,7,12,1,3,7
Peralta,2,5,59,41,7,9,1,1,0
Piedmont,2,3,52,11,13,13,9,5,1
Piedmont,2,4,49,18,8,13,6,2,2
Piedmont,2,5,39,4,4,7,9,10,5
Prescott,1,3,14,2,2,1,6,3,0
Prescott,1,4,0,0,0,0,0,0,0
Prescott,1,5,14,0,0,4,4,6,0
PRIDE,14,3,53,5,6,14,9,17,2
PRIDE,14,4,57,0,2,20,9,23,3
PRIDE,14,5,57,4,3,11,20,19,0
Reach,14,3,63,6,12,10,21,12,2
Reach,14,4,57,5,2,19,5,22,4
Reach,14,5,57,3,5,9,15,23,2
Redwood Heights,9,3,56,37,9,3,3,1,3
Redwood Heights,9,4,57,30,6,14,3,2,2
Redwood Heights,9,5,49,24,8,12,2,2,1
Sankofa,2,3,30,14,4,2,7,3,0
Sankofa,2,4,31,9,7,8,2,5,0
Sankofa,2,5,35,7,8,6,8,5,1
SEED,7,3,58,12,11,12,10,10,3
SEED,7,4,58,16,8,13,4,9,8
SEED,7,5,62,9,15,10,8,19,1
Sequoia,9,3,61,41,11,2,5,2,0
Sequoia,9,4,67,45,6,10,1,3,2
Sequoia,9,5,71,24,19,12,6,5,5
Sojourner Truth,10,3,78,7,12,9,19,13,18
Sojourner Truth,10,4,67,12,6,18,4,12,15
Sojourner Truth,10,5,78,6,5,8,18,18,23
TCN,5,3,49,4,15,14,10,4,2
TCN,5,4,50,5,6,13,6,19,1
TCN,5,5,54,2,5,8,11,21,7
Thornill,3,3,57,40,13,2,1,0,1
Thornill,3,4,44,30,6,7,0,0,1
Thornill,3,5,49,25,10,10,3,1,0
